surface,visual_object,source,mechanism,target_or_action,trigger,hover_focus_tap_treatment,baked_or_independent
Architecture Wall,Desk books,science.md:18-23,absolute hotspot,render 3-framework tabs,click;Enter;Space,"gold active/hover; generated tab selected/hover",visual baked; hit area independent
Architecture Wall,Observatory doorway,science.md:24-30,absolute nav hotspot,render panel then /blog/ link,click;Enter;Space,"dashed green active/hover",visual baked; hit area independent
Meeting Table,Architecture Services board,services.md:11-17,absolute hotspot,render 4-service tabs,click;Enter;Space,"gold active/hover; generated tab selected/hover",visual baked in services.jpg; hit area independent
Meeting Table,Book stack,services.md:18-23,absolute hotspot,render related-reading panel then /books/ link,click;Enter;Space,"gold active/hover",visual baked; hit area independent
Meeting Table,Desk,services.md:24-29,absolute hotspot,render preparation panel then mailto link,click;Enter;Space,"gold active/hover",visual baked; hit area independent
Meeting Table,FAQ questions,services.md:74-135,native details/summary,toggle answer disclosure,click;keyboard,"plus pseudo-element rotates 45deg when open; brand hover; focus-visible outline",independent DOM over page
Explorer Outfitters,Book stack,store.md:11-17,absolute hotspot,render Coming soon panel then # placeholder,click;Enter;Space,"gold active/hover",visual baked in store.jpg; hit area independent
Explorer Outfitters,Field guides/maps,store.md:18-23,absolute hotspot,render Future panel,click;Enter;Space,"gold active/hover",visual baked; hit area independent
Explorer Outfitters,Explorer Gear shelves,store.md:24-29,absolute hotspot,render POD panel then # placeholder,click;Enter;Space,"gold active/hover",visual baked; hit area independent
All room pages,previous/next room links,_layouts/room.html:39-42,anchors,page-specific prev_href/next_href,click/tap,"brand text/border hover",independent
Studio Blog,post cards/titles/read-more,studio-blog/index.html:13-27,anchors,20 article routes,click/tap,"card -3px lift/shadow/gold border; title color change",independent
Articles,related-post links,_posts/*.md,Markdown anchors,explicit related routes,click/tap,"underlined; darker gold hover",independent
All interactive rooms,panel tabs,assets/js/rooms.js:16-19;43-48,generated buttons,switch content tab locally,click/tap,"active and hover share gold border/fill; active resets on hotspot change",independent generated DOM
