route_or_destination,type,source,layout_or_generation,surface,visual_asset,navigation_or_status,evidence
/why-we-create/,article,_posts/2026-05-17-why-we-create.md,post,Observatory essay XII,none,3 related links,_posts/2026-05-17-why-we-create.md:1-63
/the-courage-to-change-your-mind/,article,_posts/2026-05-24-the-courage-to-change-your-mind.md,post,Observatory essay XIII,none,3 related links,_posts/2026-05-24-the-courage-to-change-your-mind.md:1-67
/nothing-meaningful-is-built-overnight/,article,_posts/2026-05-31-nothing-meaningful-is-built-overnight.md,post,Observatory essay XIV,none,3 related links,_posts/2026-05-31-nothing-meaningful-is-built-overnight.md:1-63
/the-value-of-wonder/,article,_posts/2026-06-07-the-value-of-wonder.md,post,Observatory essay XV,none,3 related links,_posts/2026-06-07-the-value-of-wonder.md:1-63
/everything-is-connected-but-not-everything-is-related/,article,_posts/2026-06-14-everything-is-connected-but-not-everything-is-related.md,post,Observatory essay XVI,none,3 related links,_posts/2026-06-14-everything-is-connected-but-not-everything-is-related.md:1-59
/listening-for-what-isnt-being-said/,article,_posts/2026-06-21-listening-for-what-isnt-being-said.md,post,Observatory essay XVII,none,3 related links,_posts/2026-06-21-listening-for-what-isnt-being-said.md:1-59
/building-a-life-worth-living/,article,_posts/2026-06-28-building-a-life-worth-living.md,post,Observatory essay XVIII,none,3 related links,_posts/2026-06-28-building-a-life-worth-living.md:1-63
/the-view-changes-when-you-climb/,article,_posts/2026-07-05-the-view-changes-when-you-climb.md,post,Observatory essay XIX,none,3 related links,_posts/2026-07-05-the-view-changes-when-you-climb.md:1-63
/living-an-examined-life/,article,_posts/2026-07-12-living-an-examined-life.md,post,Observatory essay XX,none,3 related links,_posts/2026-07-12-living-an-examined-life.md:1-59
/feed.xml,generated,jekyll-feed plugin,generated,Atom feed,none,implicit,_config.yml:15-18;_layouts/default.html:14
/sitemap.xml,generated,jekyll-sitemap plugin,generated,XML sitemap,none,implicit,_config.yml:15-18
https://fluxmintdigital.github.io/,external destination,blog.md,n/a,Work-at-Home Equipment Blog,n/a,"hotspot panel and supplement links",blog.md:38-39;blog.md:74
mailto:fluxmintdigital@gmail.com,external action,"default.html;about.md;services.md",n/a,email client,n/a,contact links,_layouts/default.html:70;about.md:68;services.md:58;services.md:146
#,placeholder destination,"default.html;store.md",n/a,"Newsletter; Amazon KDP; Etsy; Google Play",n/a,"no navigation; returns/top behavior browser-dependent",_layouts/default.html:69;store.md:37;store.md:50;store.md:64-65
