Asset ID,Canonical Filename,Asset Family,Canonical Room / Surface,Semantic Purpose,Source Evidence,Treatment,Desktop Requirement,Mobile Requirement,Transparency,Interactive / Stateful,Required States,Layer,Target / Action,Visual Continuity Requirements,Production Status,Approval Status,Codex Implementation Notes
FMD-OBJ-WORK-002,FMD_OBJ_WORKSHOP_TOOLWALL_DESKTOP_IDLE_v001.webp,OBJ,Workshop / Primary Workspace,Potential interactive tool-wall region,workshop.jpg,DECOMPOSE,Conditional,Conditional,Yes,Yes,idle;hover;focus,midground,Workshop artifact/collection context,Tools remain environmental and functional,PLANNED,UNREVIEWED,Do not make every tool individually interactive.
FMD-SCENE-WALL-001,FMD_SCENE_ARCHITECTUREWALL_BASE_DESKTOP_DEFAULT_v001.webp,SCENE,Architecture Wall / Room,First dedicated canonical public Architecture Wall scene,main_studio.jpg (legacy reuse),REBUILD,Required,Deliberate mobile composition required,No,No,default,base,,Research/drafting instrument; prominence never implies truth,PLANNED,UNREVIEWED,"Science becomes a domain/division, not room identity."
FMD-SCENE-WALL-002,FMD_SCENE_ARCHITECTUREWALL_BASE_MOBILE_DEFAULT_v001.webp,SCENE,Architecture Wall / Room,Canonical mobile Wall composition,legacy main_studio.jpg + Wall canon,ADD,N/A,Required,No,No,default,base,,Preserve inspect/trace semantics without literal wall squeeze,PLANNED,UNREVIEWED,Mobile semantic structure outranks wall geometry.
FMD-OBJ-WALL-001,FMD_OBJ_ARCHITECTUREWALL_ASSERTION_DESKTOP_DEFAULT_v001.webp,OBJ,Architecture Wall / Research Surface,Reusable visual unit for public claim/model inspection,Wall/AEG visual grammar,ADD,Conditional,Conditional,Yes,Yes,default;focus;selected;contradicted,foreground,Artifact/claim inspection,No visual state may masquerade as truth score,PLANNED,UNREVIEWED,Exact assertion rendering may remain CSS/component rather than raster.
FMD-SCENE-OBS-001,FMD_SCENE_OBSERVATORY_BASE_DESKTOP_DEFAULT_v001.webp,SCENE,Observatory / Room,Canonical Observatory environment,observatory.jpg,REFINE / REBUILD,Required,Deliberate mobile composition required,No,No,default,base,,"Telescope, mountain distance, notes, quiet observation",PLANNED,UNREVIEWED,Do not force 1.50 legacy aspect; current source is 1.25.
FMD-SCENE-OBS-002,FMD_SCENE_OBSERVATORY_BASE_MOBILE_DEFAULT_v001.webp,SCENE,Observatory / Room,Canonical mobile Observatory composition,observatory.jpg,ADD,N/A,Required,No,No,default,base,,Notice/read/wonder hierarchy,PLANNED,UNREVIEWED,Telescope/window should remain recognizable landmark.
FMD-OBJ-OBS-001,FMD_OBJ_OBSERVATORY_TELESCOPE_DESKTOP_IDLE_v001.webp,OBJ,Observatory / Primary Workspace,Interactive telescope landmark if interaction earns separation,observatory.jpg,DECOMPOSE,Conditional,Conditional,Yes,Yes,idle;hover;focus;active,foreground,Observatory trail/topic context,"Observation metaphor, not scientific authority",PLANNED,UNREVIEWED,Can remain baked if no meaningful state is implemented.
FMD-SCENE-MEET-001,FMD_SCENE_MEETINGTABLE_BASE_DESKTOP_DEFAULT_v001.webp,SCENE,Meeting Table / Room,Canonical collaboration environment,services.jpg,REFINE / REBUILD,Required,Deliberate mobile composition required,No,No,default,base,,Someone brought a real problem; table ready for joint work,PLANNED,UNREVIEWED,Reduce dependence on baked service signage.
FMD-SCENE-MEET-002,FMD_SCENE_MEETINGTABLE_BASE_MOBILE_DEFAULT_v001.webp,SCENE,Meeting Table / Room,Canonical mobile Meeting Table composition,services.jpg,ADD,N/A,Required,No,No,default,base,,"Collaborative clarity, not sales funnel",PLANNED,UNREVIEWED,Keep practical CTA semantically accessible outside scene.
FMD-CHAR-MEET-001,FMD_CHAR_MEETINGTABLE_DJ_DESKTOP_IDLE_v001.webp,CHAR,Meeting Table / Room,Grounded realistic illustrated DJ as collaborator,architecture_wall_dj.jpg + identity canon,ADD,Conditional,Conditional,Yes,No,idle,character,,Real DJ; grounded professional/human presence,PLANNED,UNREVIEWED,Same explorer-inspired clothes; not Explorer mascot style.
FMD-SCENE-OUT-001,FMD_SCENE_OUTFITTERS_BASE_DESKTOP_DEFAULT_v001.webp,SCENE,Explorer Outfitters / Room,Canonical acquisition environment,store.jpg,REFINE / REBUILD,Required,Deliberate mobile composition required,No,No,default,base,,Outfitter atmosphere; meaningful take-home Studio objects,PLANNED,UNREVIEWED,Do not let generic merch density dominate.
FMD-SCENE-OUT-002,FMD_SCENE_OUTFITTERS_BASE_MOBILE_DEFAULT_v001.webp,SCENE,Explorer Outfitters / Room,Canonical mobile Outfitters composition,store.jpg,ADD,N/A,Required,No,No,default,base,,Take/discover semantics; commerce subordinate,PLANNED,UNREVIEWED,External channel actions remain plain and accessible.
FMD-SCENE-DJ-001,FMD_SCENE_MEETDJ_BASE_DESKTOP_DEFAULT_v001.webp,SCENE,Meet DJ / Person Surface,Grounded environment for DJ identity/about surface,architecture_wall_dj.jpg,REBUILD,Required,Deliberate mobile composition required,No,No,default,base,,Human author/builder context; not corporate headshot staging,PLANNED,UNREVIEWED,Environment may reference Studio without claiming Wall authority.
FMD-CHAR-DJ-001,FMD_CHAR_MEETDJ_DJ_DESKTOP_IDLE_v001.webp,CHAR,Meet DJ / Person Surface,Canonical realistic illustrated DJ character,architecture_wall_dj.jpg,REBUILD,Required,Variant/derived as needed,Yes,No,idle,character,,"Same real person as Explorer, more grounded rendering",PLANNED,UNREVIEWED,Reusable family for author/builder/collaborator contexts.
FMD-CHAR-EXP-001,FMD_CHAR_EXPLORER_CANONICAL_DESKTOP_IDLE_v001.webp,CHAR,Cross-Studio / Experience Layer,Canonical Explorer DJ base character,existing Explorer/series art + identity canon,ADD,Required,Variant/derived as needed,Yes,No,idle,character,,Guide/companion only,PLANNED,UNREVIEWED,Foundation for context-specific Explorer poses.
FMD-UI-NAV-001,FMD_UI_NAV_STUDIOMAP_DESKTOP_DEFAULT_v001.webp,UI,Global / Studio Map,Optional visual map treatment,current homepage map + Studio canon,ADD,Required,Responsive semantic variant required,Conditional,Yes,default;focus;selected,overlay,Room navigation,Spatial aperture over same routes; not separate content system,PLANNED,UNREVIEWED,May be implemented as CSS/SVG instead of raster.
FMD-UI-FALL-001,FMD_FALLBACK_MAINSTUDIO_SEMANTIC_DEFAULT_v001.webp,FALLBACK,Main Studio / Hub,Low-cost semantic fallback visual when scene enhancement fails,main_studio.jpg,ADD,Required,Required,No,No,default,fallback,,Identity and orientation survive visual failure,PLANNED,UNREVIEWED,Could be optimized derivative rather than unique art.
FMD-UI-SOC-001,FMD_UI_SOCIAL_STUDIO_PREVIEW_DEFAULT_v001.webp,UI,External Preview,Canonical Studio-level social preview image,current visual language,ADD,Required,N/A,No,No,default,external,,Compress identity without clickbait,PLANNED,UNREVIEWED,Artifact-specific previews should derive from canonical assets.
