asset_id,exact_filename,class,location,surface,desktop_mobile_role,semantic_role,interaction_state_role,transparency_requirement,canonical_status,implementation_status,source_replacement_relationship,implementation_notes
FMD-ACTUAL-FMD-SCENE-EXPLORERENTRY-BASE-MOBILE-DEFAULT-V001,FMD_SCENE_EXPLORERENTRY_BASE_MOBILE_DEFAULT_v001.png,SCENE,Explorer Entry,Scene Environment,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_SCENE_EXPLORERENTRY_BASE_MOBILE_DEFAULT_v001.png,"Filename says BASE but inspected pixels contain live header/copy/CTA and may contain noncanonical animals; retain as approved composition reference, not clean implementation base."
FMD-ACTUAL-FMD-SCENE-FOREST-BASE-MOBILE-DEFAULT-V001,FMD_SCENE_FOREST_BASE_MOBILE_DEFAULT_v001.png,SCENE,Forest,Scene Environment,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_SCENE_FOREST_BASE_MOBILE_DEFAULT_v001.png,"Filename says BASE but inspected pixels contain live header/copy/CTA and may contain noncanonical animals; retain as approved composition reference, not clean implementation base."
FMD-ACTUAL-FMD-SCENE-MAINSTUDIO-BASE-DESKTOP-DEFAULT-V001,FMD_SCENE_MAINSTUDIO_BASE_DESKTOP_DEFAULT_v001.png,SCENE,Main Studio,Scene Environment,Desktop,Clean canonical Main Studio desktop environment,Base layer; Desk/Map/thresholds remain code/overlays,No,APPROVED-PRODUCTION-ASSET,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_SCENE_MAINSTUDIO_BASE_DESKTOP_DEFAULT_v001.png,Usable desktop base scene. Preserve intrinsic 1536x1024 master.
FMD-ACTUAL-FMD-SCENE-MAINSTUDIO-BASE-MOBILE-DEFAULT-V001,FMD_SCENE_MAINSTUDIO_BASE_MOBILE_DEFAULT_v001.png,SCENE,Main Studio,Scene Environment,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_SCENE_MAINSTUDIO_BASE_MOBILE_DEFAULT_v001.png,"Filename says BASE but inspected pixels contain live header/copy/CTA and may contain noncanonical animals; retain as approved composition reference, not clean implementation base."
FMD-ACTUAL-FMD-UI-404-LOST-TRAIL-DESKTOP-DEFAULT-V001,FMD_UI_404_LOST_TRAIL_DESKTOP_DEFAULT_v001.png,SPECIMEN,404,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_404_LOST_TRAIL_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-ARCHITECTUREWALL-LANDING-MOBILE-DEFAULT-V001,FMD_UI_ARCHITECTUREWALL_LANDING_MOBILE_DEFAULT_v001.png,SPECIMEN,Architecture Wall,Approved UI / Surface Specimen,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_ARCHITECTUREWALL_LANDING_MOBILE_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-ARCHIVE-HISTORY-DESKTOP-DEFAULT-V001,FMD_UI_ARCHIVE_HISTORY_DESKTOP_DEFAULT_v001.png,SPECIMEN,Archive / History,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_ARCHIVE_HISTORY_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-ARCHIVE-MOBILE-DEFAULT-V001,FMD_UI_ARCHIVE_MOBILE_DEFAULT_v001.png,SPECIMEN,Archive / History,Approved UI / Surface Specimen,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_ARCHIVE_MOBILE_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-ARTIFACT-APP-DETAIL-DESKTOP-DEFAULT-V001,FMD_UI_ARTIFACT_APP_DETAIL_DESKTOP_DEFAULT_v001.png,SPECIMEN,Artifact Surface,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_ARTIFACT_APP_DETAIL_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-ARTIFACT-BOOK-DETAIL-DESKTOP-DEFAULT-V001,FMD_UI_ARTIFACT_BOOK_DETAIL_DESKTOP_DEFAULT_v001.png,SPECIMEN,Artifact Surface,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_ARTIFACT_BOOK_DETAIL_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-ARTIFACT-ESSAY-DETAIL-DESKTOP-DEFAULT-V001,FMD_UI_ARTIFACT_ESSAY_DETAIL_DESKTOP_DEFAULT_v001.png,SPECIMEN,Artifact Surface,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_ARTIFACT_ESSAY_DETAIL_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-ARTIFACT-FRAMEWORK-DETAIL-DESKTOP-DEFAULT-V001,FMD_UI_ARTIFACT_FRAMEWORK_DETAIL_DESKTOP_DEFAULT_v001.png,SPECIMEN,Artifact Surface,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_ARTIFACT_FRAMEWORK_DETAIL_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-ARTIFACT-UNAVAILABLE-DESKTOP-DEFAULT-V001,FMD_UI_ARTIFACT_UNAVAILABLE_DESKTOP_DEFAULT_v001.png,SPECIMEN,Artifact Surface,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_ARTIFACT_UNAVAILABLE_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-ERROR-MOBILE-DEFAULT-V001,FMD_UI_ERROR_MOBILE_DEFAULT_v001.png,SPECIMEN,Error,Approved UI / Surface Specimen,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_ERROR_MOBILE_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-EXPLOREROUTFITTERS-LANDING-DESKTOP-DEFAULT-V001,FMD_UI_EXPLOREROUTFITTERS_LANDING_DESKTOP_DEFAULT_v001.png,SPECIMEN,Explorer Outfitters,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_EXPLOREROUTFITTERS_LANDING_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-EXPLOREROUTFITTERS-LANDING-MOBILE-DEFAULT-V001,FMD_UI_EXPLOREROUTFITTERS_LANDING_MOBILE_DEFAULT_v001.png,SPECIMEN,Explorer Outfitters,Approved UI / Surface Specimen,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_EXPLOREROUTFITTERS_LANDING_MOBILE_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-LIBRARY-LANDING-DESKTOP-DEFAULT-V001,FMD_UI_LIBRARY_LANDING_DESKTOP_DEFAULT_v001.png,SPECIMEN,Library,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_LIBRARY_LANDING_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-LIBRARY-LANDING-MOBILE-DEFAULT-V001,FMD_UI_LIBRARY_LANDING_MOBILE_DEFAULT_v001.png,SPECIMEN,Library,Approved UI / Surface Specimen,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_LIBRARY_LANDING_MOBILE_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-MAINSTUDIO-DESKNOW-DESKTOP-DEFAULT-V001,FMD_UI_MAINSTUDIO_DESKNOW_DESKTOP_DEFAULT_v001.png,SPECIMEN,Main Studio,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_MAINSTUDIO_DESKNOW_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-MAINSTUDIO-DESKNOW-MOBILE-DEFAULT-V001,FMD_UI_MAINSTUDIO_DESKNOW_MOBILE_DEFAULT_v001.png,SPECIMEN,Main Studio,Approved UI / Surface Specimen,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_MAINSTUDIO_DESKNOW_MOBILE_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-MAINSTUDIO-STUDIOMAP-DESKTOP-DEFAULT-V001,FMD_UI_MAINSTUDIO_STUDIOMAP_DESKTOP_DEFAULT_v001.png,SPECIMEN,Main Studio,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_MAINSTUDIO_STUDIOMAP_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-MAINSTUDIO-STUDIOMAP-MOBILE-DEFAULT-V001,FMD_UI_MAINSTUDIO_STUDIOMAP_MOBILE_DEFAULT_v001.png,SPECIMEN,Main Studio,Approved UI / Surface Specimen,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_MAINSTUDIO_STUDIOMAP_MOBILE_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-MEETDJ-LANDING-DESKTOP-DEFAULT-V001,FMD_UI_MEETDJ_LANDING_DESKTOP_DEFAULT_v001.png,SPECIMEN,Meet DJ,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_MEETDJ_LANDING_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-MEETDJ-LANDING-MOBILE-DEFAULT-V001,FMD_UI_MEETDJ_LANDING_MOBILE_DEFAULT_v001.png,SPECIMEN,Meet DJ,Approved UI / Surface Specimen,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_MEETDJ_LANDING_MOBILE_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-MEETINGTABLE-LANDING-DESKTOP-DEFAULT-V001,FMD_UI_MEETINGTABLE_LANDING_DESKTOP_DEFAULT_v001.png,SPECIMEN,Meeting Table,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_MEETINGTABLE_LANDING_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-MEETINGTABLE-LANDING-MOBILE-DEFAULT-V001,FMD_UI_MEETINGTABLE_LANDING_MOBILE_DEFAULT_v001.png,SPECIMEN,Meeting Table,Approved UI / Surface Specimen,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_MEETINGTABLE_LANDING_MOBILE_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-OBSERVATORY-LANDING-DESKTOP-DEFAULT-V001,FMD_UI_OBSERVATORY_LANDING_DESKTOP_DEFAULT_v001.png,SPECIMEN,Observatory,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_OBSERVATORY_LANDING_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-OBSERVATORY-LANDING-MOBILE-DEFAULT-V001,FMD_UI_OBSERVATORY_LANDING_MOBILE_DEFAULT_v001.png,SPECIMEN,Observatory,Approved UI / Surface Specimen,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_OBSERVATORY_LANDING_MOBILE_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-RELATIONSHIP-EXPLORER-DESKTOP-DEFAULT-V001,FMD_UI_RELATIONSHIP_EXPLORER_DESKTOP_DEFAULT_v001.png,SPECIMEN,Relationship Explorer,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_RELATIONSHIP_EXPLORER_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-RELATIONSHIP-EXPLORER-MOBILE-DEFAULT-V001,FMD_UI_RELATIONSHIP_EXPLORER_MOBILE_DEFAULT_v001.png,SPECIMEN,Relationship Explorer,Approved UI / Surface Specimen,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_RELATIONSHIP_EXPLORER_MOBILE_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-SEARCH-EMPTY-DESKTOP-DEFAULT-V001,FMD_UI_SEARCH_EMPTY_DESKTOP_DEFAULT_v001.png,SPECIMEN,Search,Approved UI / Surface Specimen,Desktop,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_SEARCH_EMPTY_DESKTOP_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-UI-SEARCH-MOBILE-DEFAULT-V001,FMD_UI_SEARCH_MOBILE_DEFAULT_v001.png,SPECIMEN,Search,Approved UI / Surface Specimen,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_UI_SEARCH_MOBILE_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
