object_id,scene,visible object,semantic purpose,target/action,idle treatment,hover treatment,focus treatment,tap treatment,active/selected treatment,motion behavior,reduced-motion behavior,accessibility label,implementation type
FMD-INT-RETURN,All Rooms,Return path,Return to Main Studio/parent,Canonical parent/hub,Always visible semantically,Hover cue,Visible focus,One tap,Current location retained if appropriate,No required motion,None,Return to the Main Studio,HTML anchor
FMD-INT-LIB-ARCHSERIES,Library,Architecture Series access object,Explore ordered Architecture Series,Series Artifact,Distinct live label,Highlight,Focus ring+series name,One tap,Selected series,Optional relation cue,Static marker,Explore The Architecture Series,HTML/data + SVG/CSS
FMD-INT-LIB-WILDSIDE,Library,Walk on the Wild Side access object,Open distinct series,Series Artifact,Distinct live label,Highlight,Focus ring+series name,One tap,Selected series,None,None,Explore Walk on the Wild Side,HTML/data + SVG/CSS
FMD-INT-LIB-FIELDGUIDE,Library,DJ Field Guide access object,Open distinct series,Series Artifact,Distinct live label,Highlight,Focus ring+series name,One tap,Selected series,None,None,Explore the DJ Field Guide series,HTML/data + SVG/CSS
FMD-INT-WORK-PROTOTYPE,Workshop,Prototype/experiment object,Inspect selected prototype,Prototype/Experiment Artifact,Data-bound identity cue,Highlight object region,Focus ring+title/state,One tap,Selected Artifact,Optional earned response,Static selected state,Inspect [prototype title],HTML/data overlay + optional raster
FMD-INT-WALL-FRAMEWORK,Architecture Wall,Framework access object,Open Framework Artifact,Framework detail,Neutral typed access cue,Highlight without truth implication,Focus ring+type/title,One tap,Selected framework,Optional trace,Static trace,Inspect framework [title],HTML/data + SVG
FMD-INT-WALL-PROGRAM,Architecture Wall,Research-program access object,Open Research Program,Program detail,Neutral typed access cue,Highlight without truth implication,Focus ring+type/title,One tap,Selected program,Optional trace,Static trace,Inspect research program [title],HTML/data + SVG
FMD-INT-WALL-EXPERIMENT,Architecture Wall,Experiment/evidence access object,Open Experiment/evidence record,Artifact detail,State explicitly named,Highlight without warrant implication,Focus ring+state/title,One tap,Selected record,Optional trace,Static trace,Inspect [type] [title] — [state],HTML/data + SVG
FMD-INT-WALL-PORTAL,Architecture Wall,Deeper Wall application portal,Open deeper Architecture Wall application,Authorized portal route,Conventional portal label,Hover cue,Focus ring+destination,One tap,Open/current state,Optional aperture transition,Instant navigation,Open the deeper Architecture Wall application,HTML anchor + SVG
FMD-INT-MEET-BLUEPRINT,Meeting Table,Project blueprint/map,Explore architecture/project mapping context,Contextual panel or authorized flow,Neutral project object,Highlight+label,Focus ring+purpose,One tap,Selected context,Optional unfold only if earned,Static panel,Explore project architecture,HTML/data overlay + optional raster
FMD-INT-OUT-NOTEBOOK,Explorer Outfitters,Field notebook/resource,Open canonical resource,Artifact detail,Identity visible,Highlight+label,Focus ring+availability,One tap,Selected Artifact,None,None,View [field notebook/resource title],HTML/data + canonical media
FMD-INT-OUT-MAP,Explorer Outfitters,Map/print,Open canonical map/print,Artifact detail,Identity visible,Highlight+label,Focus ring+availability,One tap,Selected Artifact,None,None,View [map/print title],HTML/data + canonical media
FMD-INT-OUT-TOOL,Explorer Outfitters,Companion-tool representation,Open canonical tool identity/availability,Artifact detail or canonical Workshop home,Identity visible,Highlight+label,Focus ring+availability,One tap,Selected Artifact,None,None,View [companion tool title],HTML/data + canonical media
